location,quarter,nsb
"Cape D'Aguilar Radiation Monitoring Station, Hong Kong Observatory",Q1,9.546422861510077
"Cape D'Aguilar Radiation Monitoring Station, Hong Kong Observatory",Q2,8.41147081385364
"Cape D'Aguilar Radiation Monitoring Station, Hong Kong Observatory",Q3,8.67915983962428
"Cape D'Aguilar Radiation Monitoring Station, Hong Kong Observatory",Q4,9.83354522499981
Fanling Kau Yan College,Q1,8.471903884538616
Fanling Kau Yan College,Q2,8.734983443354912
Fanling Kau Yan College,Q3,8.175149868872383
Fanling Kau Yan College,Q4,9.038841595816256
Ho Koon Nature Education cum Astronomical Centre,Q1,12.873302907775138
Ho Koon Nature Education cum Astronomical Centre,Q2,11.442801380892506
Ho Koon Nature Education cum Astronomical Centre,Q3,12.213917753302557
Ho Koon Nature Education cum Astronomical Centre,Q4,13.808132373945616
Hong Kong Space Museum,Q1,12.499675921637012
Hong Kong Space Museum,Q2,11.343863632688919
Hong Kong Space Museum,Q3,12.310714590876563
Hong Kong Space Museum,Q4,13.644745971448891
Hong Kong Space Museum Sai Kung iObservatory,Q1,13.704367546731785
Hong Kong Space Museum Sai Kung iObservatory,Q2,11.185775329512255
Hong Kong Space Museum Sai Kung iObservatory,Q3,12.015315015013412
Hong Kong Space Museum Sai Kung iObservatory,Q4,13.549646975330734
"King's Park Meteorological Station, Hong Kong Observatory",Q1,7.909503960289031
"King's Park Meteorological Station, Hong Kong Observatory",Q2,7.044676056123053
"King's Park Meteorological Station, Hong Kong Observatory",Q3,8.657275429612914
"King's Park Meteorological Station, Hong Kong Observatory",Q4,8.301041181159723
Mai Po Nature Reserve,Q1,8.887976163775434
Mai Po Nature Reserve,Q2,7.864558770449425
Mai Po Nature Reserve,Q3,8.195097949645314
Mai Po Nature Reserve,Q4,9.247530040919779
"Shek Pik Tide Gauge Station, Hong Kong Observatory",Q1,9.262395553615104
"Shek Pik Tide Gauge Station, Hong Kong Observatory",Q2,8.201023931193046
"Shek Pik Tide Gauge Station, Hong Kong Observatory",Q3,8.606591864790554
"Shek Pik Tide Gauge Station, Hong Kong Observatory",Q4,9.700684552330264
The University of Hong Kong,Q1,11.375357717382101
The University of Hong Kong,Q2,10.1164226889297
The University of Hong Kong,Q3,10.684827802421028
The University of Hong Kong,Q4,12.016205948984728
"Tsim Bei Tsui Seismological Station, Hong Kong Observatory",Q1,13.503287680942124
"Tsim Bei Tsui Seismological Station, Hong Kong Observatory",Q2,11.763625212116835
"Tsim Bei Tsui Seismological Station, Hong Kong Observatory",Q3,12.068077060769111
"Tsim Bei Tsui Seismological Station, Hong Kong Observatory",Q4,13.723526646107235
